Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
IMPACT: Increased Monitoring of Physical Activity and Calories with Technology,NIDDK,9816290,1R34DK119815-01A1,1,R34,DK,119815,1,A1,,8960298,"MOORE, JUSTIN BRIAN",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2019,242860,
SM BASICS: Development and testing of a social media enhanced intervention,NIAAA,9165606,1R34AA025159-01,1,R34,AA,25159,1,,,8747442,"MORENO, MEGAN A. ","LEWIS, MELISSA A",SEATTLE CHILDREN'S HOSPITAL, ,2016,218523,
Collaborative care for alcohol use disorders in the patient-centered medical home,NIAAA,9021258,1R34AA024589-01,1,R34,AA,24589,1,,,1878158,"MORGENSTERN, JON  ","CONIGLIARO, JOSEPH ",FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH, ,2016,282986,
Availability is Not Access: Recently Incarcerated Women; HIV Risk; and Substance Use Disorders,NIDA,9203354,1R34DA041240-01A1,1,R34,DA,41240,1,A1,,6602126,"MORSE, DIANE S",Not Applicable,UNIVERSITY OF ROCHESTER, ,2016,267127,
Positive Affect Regulation as Adjuvant to Integrative Therapies for Chronic Pain:  Development of the LARKSPUR Clinic-Based Intervention,NCCIH,9428950,1R34AT009685-01,1,R34,AT,9685,1,,,7274959,"MOSKOWITZ, JUDITH T",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2018,253368,
A Mindfulness Based Cognitive Therapy (MBCT) Resiliency Program for Critical Care Nurses,NCCIH,9161921,1R34AT009181-01,1,R34,AT,9181,1,,,8209180,"MOSS, MARC  ","MEALER, MEREDITH ",UNIVERSITY OF COLORADO DENVER, ,2016,278956,
Piloting a Sequential Multiple-Assignment Randomization Trial to evaluate AllyQuest: an mHealth intervention for HIV-positive young MSM to optimize HIV medication adherence and care outcomes,NIMH,9623982,1R34MH118058-01,1,R34,MH,118058,1,,,9558264,"MUESSIG, KATHRYN E",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2018,281828,
Engaging Young Adults in Their Mental Health Care Through a Brief Empirically-Based Meta-Intervention,NIMH,9228728,1R34MH111861-01,1,R34,MH,111861,1,,,7753781,"MUNSON, MICHELLE R.",Not Applicable,NEW YORK UNIVERSITY, ,2017,198125,
Private wells and enteric infections in children: A randomized intervention trial,NIAID,9483444,1R34AI127305-01A1,1,R34,AI,127305,1,A1,,14193060,"MURPHY, HEATHER M",Not Applicable,TEMPLE UNIV OF THE COMMONWEALTH, ,2018,257827,
Planning A Clinical Trial of Bio-enhanced ACL Repair versus ACL Reconstruction,NIAMS,9233601,1R34AR066631-01A1,1,R34,AR,66631,1,A1,,2049784,"MURRAY, MARTHA M ","FLEMING, BRADEN C;SPINDLER, KURT PAUL",BOSTON CHILDREN'S HOSPITAL, ,2017,444516,
Evaluating the Feasibility and Acceptability of 'PrEP-Talk': A PrEP Uptake Intervention for Young Black MSM with their Close Friends,NIMH,9781039,1R34MH118122-01A1,1,R34,MH,118122,1,A1,,9595629,"MUTCHLER, MATT GARY",Not Applicable,CALIFORNIA STATE UNIV-DOMINGUEZ HILLS, ,2019,238422,
Dissecting circuits for local and long-range competitive inhibition in the mouse superior colliculus,NINDS,9746311,1R34NS111653-01,1,R34,NS,111653,1,,,10573140,"MYSORE, SHREESH P",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2019,604079,
A Multi-Component Alcohol and Sex Risk Intervention for College Students,NIAAA,9528902,1R34AA026032-01A1,1,R34,AA,26032,1,A1,,8703432,"NAPPER, LUCY ELIZABETH ","KENNEY, SHANNON REILLY",LEHIGH UNIVERSITY, ,2018,226180,
Brief Personalized Feedback Intervention for Hazardous Drinking in an HIV Clinic,NIAAA,9109373,1R34AA023739-01A1,1,R34,AA,23739,1,A1,,6761388,"NEIGHBORS, CLAYTON  ","SHARP, CARLA ;ZVOLENSKY, MICHAEL J.",UNIVERSITY OF HOUSTON, ,2017,230784,
Extracorporeal CPR for Refractory Out-of-Hospital Cardiac Arrest (EROCA) Trial Planning Grant,NHLBI,9182635,1R34HL130738-01A1,1,R34,HL,130738,1,A1,,1891002,"NEUMAR, ROBERT W. ","BARTLETT, ROBERT H.",UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2016,348750,
Adaptation of an Evidence-based Interactive Obesity Treatment Approach (iOTA) for Obesity Prevention in Early Serious Mental Illness: iOTA-eSMI,NIMH,9807090,1R34MH118395-01A1,1,R34,MH,118395,1,A1,,10229417,"NICOL, GINGER ELLEN ","NEWCOMER, JOHN W.",WASHINGTON UNIVERSITY, ,2019,229707,
Health System Integration of Tools to Improve Primary Care for Autistic Adults,NIMH,9214259,1R34MH111536-01,1,R34,MH,111536,1,,,2053800,"NICOLAIDIS, CHRISTINA M",Not Applicable,PORTLAND STATE UNIVERSITY, ,2017,351053,
Visual coding in freely moving behavior,NINDS,9747079,1R34NS111669-01,1,R34,NS,111669,1,,,9627407,"NIELL, CRISTOPHER M",Not Applicable,UNIVERSITY OF OREGON, ,2019,625654,
A Community-Clinic Collaboration to Improve Outcomes in HIV+ Substance Users Released from Jail,NIDA,9560399,1R34DA045592-01A1,1,R34,DA,45592,1,A1,,10387873,"NIJHAWAN, ANK ELISABETH",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2018,243000,
Optimizing Implementation of Medication Assisted Treatment for American Indians and Alaska Natives.,NIDA,9598178,1R34DA046897-01,1,R34,DA,46897,1,,,2497976,"NOVINS, DOUGLAS K",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2018,274017,
PrEP uptake; adherence & retention for African American MSM in Mississippi,NIMH,9141506,1R34MH109371-01A1,1,R34,MH,109371,1,A1,,9350497,"NUNN, AMY STEWART ","CHAN, PHILIP ANDREW;MENA, LEANDRO ANTONIO",BROWN UNIVERSITY, ,2016,266094,
Diabetes Risk Education and Communication Trial (DiRECT) for Primary Care Patients with Prediabetes,NIDDK,9307461,1R34DK113541-01,1,R34,DK,113541,1,,,10665753,"O'BRIEN, MATTHEW JAMES",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2017,240031,
ADAPTING AND ASSESSING THE FEASIBILITY OF ?HEALTHY DADS; HEALTHY KIDS? FOR US LATINOS,NHLBI,9242857,1R34HL131726-01A1,1,R34,HL,131726,1,A1,,8772903,"O'CONNOR, TERESIA MARGARETA",Not Applicable,BAYLOR COLLEGE OF MEDICINE, ,2017,211801,
Pilot Test of a Collaborative Care Team for Medical Inpatients with Opioid and Alcohol Use Disorders,NIDA,9649971,1R34DA047492-01,1,R34,DA,47492,1,,,11035404,"OBER, ALLISON  ","DANOVITCH, ITAI ",RAND CORPORATION, ,2019,279084,
Brief Alcohol Intervention and mHealth Booster for Suicidal Adolescents,NIAAA,9297719,1R34AA025763-01,1,R34,AA,25763,1,,,10972203,"OBRIEN, KIMBERLY ",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2017,283180,
The Implementation; Adoption; and Sustainability of Ho'ouna Pono,NIDA,9741528,1R34DA046735-01A1,1,R34,DA,46735,1,A1,,8517135,"OKAMOTO, SCOTT KIYOSHI",Not Applicable,HAWAII PACIFIC UNIVERSITY, ,2019,205225,
Mind-Body Approach to Improve Health- Related Quality of Life for People with Narcolepsy: A Feasibility Study,NCCIH,9827914,1R34AT009551-01A1,1,R34,AT,9551,1,A1,,8156069,"ONG, JASON C",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2019,237000,
Engaging Siblings of Adults with Autism in Future Planning,NIMH,9213200,1R34MH111489-01,1,R34,MH,111489,1,,,2213089,"ORSMOND, GAEL I. ","LONG, KRISTIN ANN",BOSTON UNIVERSITY (CHARLES RIVER CAMPUS), ,2017,246750,
A Pilot Trial to Prevent Intoxicated and Impaired Driving Among Adolescents,NIAAA,9837855,1R34AA027689-01A1,1,R34,AA,27689,1,A1,,9035280,"OSILLA, KAREN CHAN",Not Applicable,RAND CORPORATION, ,2019,213333,
A Trauma-Informed; Mindfulness-Based Yoga Intervention for Juvenile Justice-Involved Youth,NCCIH,9367714,1R34AT009538-01,1,R34,AT,9538,1,,,11371254,"OWEN-SMITH, ASHLI A",Not Applicable,GEORGIA STATE UNIVERSITY, ,2017,220707,
Integrated Technology-Based Intervention to Reduce Heavy Drinking and Chronic Pain among Patients in Primary Care,NIAAA,9723542,1R34AA027598-01,1,R34,AA,27598,1,,,1864873,"PALFAI, TIBOR P.",Not Applicable,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS), ,2019,395045,
B-lines Lung Ultrasound Guided ED Management of Acute Heart Failure (BLUSHED-AHF),NHLBI,9299462,1R34HL136986-01,1,R34,HL,136986,1,,,10039169,"PANG, PETER S",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2017,400175,
Assessing the Feasibility of a New Prevention to Reduce Alcohol-related Sexual Revictimization of College Women,NIAAA,9744379,1R34AA026910-01A1,1,R34,AA,26910,1,A1,,1971439,"PARKS MARSH, KATHLEEN A ","BRADIZZA, CLARA MARGARET",STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2019,207233,
Optimizing viral load suppression in Kenyan children on antiretroviral therapy (Opt4Kids),NIMH,9481700,1R34MH115769-01,1,R34,MH,115769,1,,,10460967,"PATEL, RENA CHIMAN ","ABUOGI, LISA LYNN",UNIVERSITY OF WASHINGTON, ,2018,355949,
Social Media Intervention to Promote Smoking Treatment Utilization and Cessation among Alaska Native Smokers,NIDA,9519196,1R34DA046008-01,1,R34,DA,46008,1,,,6475572,"PATTEN, CHRISTI A",Not Applicable,MAYO CLINIC ROCHESTER, ,2018,219996,
Mobile Application Intervention Targeting the High Risk Drinking Practice of Prepartying,NIAAA,9600466,1R34AA025968-01A1,1,R34,AA,25968,1,A1,,9732235,"PEDERSEN, ERIC R.",Not Applicable,RAND CORPORATION, ,2018,243754,
Adaptation of the Friendship Bench mental health intervention for HIV-infected perinatal women in Malawi,NIMH,9620283,1R34MH116806-01A1,1,R34,MH,116806,1,A1,,8831092,"PENCE, BRIAN W. ","BENGTSON, ANGELA ",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2018,227558,
Tailored Response to Psychiatric Comorbidity to Improve HIV Care Engagement in the United States (TRACE),NIMH,9926639,1R34MH119962-01A1,1,R34,MH,119962,1,A1,,8831092,"PENCE, BRIAN W.",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2019,214648,
Targeting Physical Health in Schizophrenia: Physical Activity Can Enhance life (PACE-life),NIMH,9584132,1R34MH111852-01A1,1,R34,MH,111852,1,A1,,1975164,"PENN, DAVID LEWIS ","BATTAGLINI, CLAUDIO ",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2018,236942,
Treatment of SLE with sirolimus,NIAID,9625453,1R34AI141304-01,1,R34,AI,141304,1,,,1891355,"PERL, ANDRAS ",Not Applicable,UPSTATE MEDICAL UNIVERSITY, ,2019,243000,
Treatment of Systemic Lupus Erythematosus (SLE) with N-acetylcysteine (NAC),NIAMS,9173167,1R34AR068052-01A1,1,R34,AR,68052,1,A1,,1891355,"PERL, ANDRAS  ","MCDERMOTT, MICHAEL P",UPSTATE MEDICAL UNIVERSITY, ,2016,202500,
Emotion coaching skills as an augmentation to family based therapy for adolescents with anorexia nervosa: A pilot study,NIMH,9647884,1R34MH115897-01A1,1,R34,MH,115897,1,A1,,10884782,"PETERSON, CLAIRE M",Not Applicable,CINCINNATI CHILDRENS HOSP MED CTR, ,2019,263882,
THE INORGANIC NITRATE FOR EXERCISE IN HEART FAILURE (INIX-HF) TRIAL,NHLBI,9374210,1R34HL138253-01,1,R34,HL,138253,1,,,3150872,"PETERSON, LINDA RUTH ","COGGAN, ANDREW R;SCHECHTMAN, KENNETH B.",WASHINGTON UNIVERSITY, ,2017,237519,
Parent Emotion Socialization and Child Emotion Regulation in FASD,NIAAA,9428568,1R34AA025717-01A1,1,R34,AA,25717,1,A1,,8139213,"PETRENKO, CHRISTIE LYNN MCGEE",Not Applicable,UNIVERSITY OF ROCHESTER, ,2018,217664,
NATIENS: A Phase III Randomized Study to Determine the Mechanisms and Optimal Management of Stevens-Johnson Syndrome and Toxic Epidermal Necrolysis,NIAID,9483974,1R34AI136815-01,1,R34,AI,136815,1,,,11281439,"PHILLIPS, ELIZABETH ",Not Applicable,VANDERBILT UNIVERSITY MEDICAL CENTER, ,2018,205376,
Primary Care Based Mindfulness Training for Veterans with PTSD,NCCIH,9425487,1R34AT009678-01,1,R34,AT,9678,1,,,10362837,"POSSEMATO, KYLE ",Not Applicable,CENTRAL NEW YORK RESEARCH CORPORATION, ,2018,167625,
A genetically Encoded Method to Trace Neuronal Circuits in the Zebrafish Brain,NINDS,9746823,1R34NS111661-01,1,R34,NS,111661,1,,,8609360,"PROBER, DAVID AARON ","LOIS, CARLOS ",CALIFORNIA INSTITUTE OF TECHNOLOGY, ,2019,731138,
Developing a Resilience Intervention for Older; HIV-Infected Women,NCCIH,9269797,1R34AT009170-01A1,1,R34,AT,9170,1,A1,,9424289,"PSAROS, CHRISTINA ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2017,232310,
Developing and Evaluating a Provider-Delivered National EMR Alert-based HIV ART Adherence Counseling Program in Haiti: iSanté Plus,NIMH,9202862,1R34MH112378-01A1,1,R34,MH,112378,1,A1,,12642900,"PUTTKAMMER, NANCY  ","SIMONI, JANE ",UNIVERSITY OF WASHINGTON, ,2016,230656,
Using Facebook to address smoking and heavy drinking in young adults,NIDA,9089088,1R34DA041637-01,1,R34,DA,41637,1,,,8501883,"RAMO, DANIELLE E",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2016,247339,
Linkage to Community-Based HIV Pre-Exposure Prophylaxsis Care Among at Risk Women upon Release from Incarceration,NIDA,9410103,1R34DA045621-01,1,R34,DA,45621,1,,,1902071,"RAMSEY, SUSAN E",Not Applicable,RHODE ISLAND HOSPITAL, ,2017,261947,
Volunteer-Delivery of Behavioral Activation for Senior Center Clients,NIMH,9228467,1R34MH111849-01,1,R34,MH,111849,1,,,2259171,"RAUE, PATRICK J",Not Applicable,UNIVERSITY OF WASHINGTON, ,2017,218645,
Implementing Prevention Plus for childhood overweight and obesity in food secure and insecure families,NIDDK,9103386,1R34DK109504-01,1,R34,DK,109504,1,,,7568391,"RAYNOR, HOLLIE A ","KHATRI, PARINDA ",UNIVERSITY OF TENNESSEE KNOXVILLE, ,2016,212935,
Harnessing the Power of Friends to Reduce Sexual Assault Risk,NIAAA,9604863,1R34AA027046-01,1,R34,AA,27046,1,,,6795675,"READ, JENNIFER P. ","LIVINGSTON, JENNIFER A",STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2018,227883,
Planning Grant for an Intensive Weight Loss Clinical Trial for Overweight and Obese Patients Post Total Knee Replacement,NIAMS,9591633,1R34AR074066-01,1,R34,AR,74066,1,,,8137952,"RICHEY, PHYLLIS A ","MIHALKO, WILLIAM M",UNIVERSITY OF TENNESSEE HEALTH SCI CTR, ,2018,200640,
Developing and testing the feasibility; acceptability and initial efficacy of a brief peer-led intervention to improve reproductive health among women in opioid medication-assisted treatment,NIDA,9035139,1R34DA039381-01A1,1,R34,DA,39381,1,A1,,10378049,"RINEHART, DEBORAH ",Not Applicable,DENVER HEALTH AND HOSPITAL AUTHORITY, ,2016,230591,
Targeted interventions to address the multi-level effects of gender-based violence on PrEP uptake and adherence among adolescent girls and young women in Kenya,NIMH,9403567,1R34MH114519-01,1,R34,MH,114519,1,,,12276568,"ROBERTS, SARAH TYLER",Not Applicable,RESEARCH TRIANGLE INSTITUTE, ,2017,251752,
A behavioral economic intervention to improve psychiatrist adherence to tobacco treatment guidelines,NIDA,9528196,1R34DA043059-01A1,1,R34,DA,43059,1,A1,,11948932,"ROGERS, ERIN  ","SHERMAN, SCOTT E",NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2018,215548,
Randomized Controlled Trial of Anti-TNF to Preserve Allograft Function in High-Risk Renal Transplant Patients Based on a B Cell Biomarker,NIAID,9483378,1R34AI136782-01,1,R34,AI,136782,1,,,1877888,"ROTHSTEIN, DAVID M",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2018,229198,
Validation of an Implementation Strategy of COMPASS for School Trainers of Children with Autism,NIMH,9371922,1R34MH111783-01A1,1,R34,MH,111783,1,A1,,1960113,"RUBLE, LISA A",Not Applicable,UNIVERSITY OF KENTUCKY, ,2017,247569,
Cardiac Resynchronization in the Elderly: Piloting Pacemaker vs. Defibrillator Therapy,NHLBI,9245212,1R34HL132031-01A1,1,R34,HL,132031,1,A1,,8035911,"SABA, SAMIR FAWZI",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2017,348750,
Improving Mental Health Outcomes with the Emergency Department Information Exchange (EDIE): Insights from Washington State,NIMH,9805962,1R34MH120345-01,1,R34,MH,120345,1,,,12465073,"SABBATINI, AMBER KATHLEEN",Not Applicable,UNIVERSITY OF WASHINGTON, ,2019,360303,
A Mobile Health Application for Engagement in Care among Youth Living with HIV,NIMH,9404104,1R34MH114604-01,1,R34,MH,114604,1,,,9528329,"SABERI, PARYA ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2017,277375,
Improving Adherence in Adolescents and Young Adultswith Bipolar Disorder,NIMH,9806085,1R34MH117206-01A1,1,R34,MH,117206,1,A1,,6141331,"SAJATOVIC, MARTHA X ","DELBELLO, MELISSA P",CASE WESTERN RESERVE UNIVERSITY, ,2019,269405,
GET PrEPD for Psychiatry: Goal Elicitation; Treatment Prioritization; & Electronically-Practiced Discussion for Psychiatric Care,NIMH,9647304,1R34MH118314-01,1,R34,MH,118314,1,,,3121092,"SALYERS, MICHELLE P. ","HIRSH, ADAM T",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2019,278593,
Treatment with Lorcaserin for Cocaine Use - The TLC Study,NIDA,9245257,1R34DA042161-01A1,1,R34,DA,42161,1,A1,,11266130,"SANTOS, GLENN-MILO ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2017,116683,
A Crowd-Powered Technological Treatment for Depression and Anxiety,NIMH,9724016,1R34MH113616-01A1,1,R34,MH,113616,1,A1,,10700186,"SCHUELLER, STEPHEN ",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE, ,2019,232827,
MySafeRx: An integrated mobile platform for buprenorphine adherence,NIDA,9112129,1R34DA040086-01A1,1,R34,DA,40086,1,A1,,10480080,"SCHUMAN OLIVIER, ZEV DAVID",Not Applicable,DARTMOUTH COLLEGE, ,2016,324000,
Postural therapy reduces sleep disordered breathing and cardiometabolic stress at altitude,NHLBI,9226899,1R34HL135360-01,1,R34,HL,135360,1,,,1901566,"SCHWARTZ, ALAN R. ","CHECKLEY, WILLIAM N",JOHNS HOPKINS UNIVERSITY, ,2017,339957,
A clinical trial planning grant for one session treatment for dental phobia in youth as a method to disseminate an empirically supported treatment to an underserved population,NIDCR,9372970,1R34DE027111-01,1,R34,DE,27111,1,,,7937523,"SELIGMAN, LAURA D ","OLLENDICK, THOMAS H.",UNIVERSITY OF TEXAS RIO GRANDE VALLEY, ,2017,217950,
Cortical Spatial Processing for Solving the Cocktail Party Problem,NINDS,9753613,1R34NS111742-01,1,R34,NS,111742,1,,,6266134,"SEN, KAMAL K ","HAN, XUE ",BOSTON UNIVERSITY (CHARLES RIVER CAMPUS), ,2019,720225,
CATCH Healthy Smiles: Planning and feasibility of an elementary school-based child oral health RCT,NIDCR,9316826,1R34DE026245-01A1,1,R34,DE,26245,1,A1,,9111386,"SHARMA, SHREELA V",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2017,231000,
Retail Outlet Health Kiosk Hypertension Trial,NHLBI,9530032,1R34HL137659-01A1,1,R34,HL,137659,1,A1,,1890784,"SHEA, STEVEN J",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2018,363375,
Tai Chi for Chronic Low Back Pain in Older Adults,NCCIH,9076169,1R34AT009052-01,1,R34,AT,9052,1,,,1941194,"SHERMAN, KAREN J",Not Applicable,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON, ,2016,171768,
Developing a PrEP Adherence Intervention Targeting At-Risk and Substance Using Women,NIDA,9405193,1R34DA045619-01,1,R34,DA,45619,1,,,2087532,"SHERMAN, SUSAN G.",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2017,245250,
Systems analysis and improvement approach to optimize the pediatric HIV diagnosis and care cascade (SAIA-PEDS),NIAID,9270775,1R34AI129900-01,1,R34,AI,129900,1,,,10822467,"SHERR, KENNETH ",Not Applicable,UNIVERSITY OF WASHINGTON, ,2017,226322,
Family Navigator E3 Project: Enhancing Early Engagement in Mental Health Services through Children's Advocacy Center's Family Advocates,NIMH,9648955,1R34MH118486-01,1,R34,MH,118486,1,,,6410919,"SILOVSKY, JANE FRANCES",Not Applicable,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR, ,2019,191074,
Glucose to Goal: A Model to Support Diabetes Management in Primary Care,NIDDK,9097275,1R34DK106684-01A1,1,R34,DK,106684,1,A1,,7645767,"SIMINERIO, LINDA M",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2016,221310,
Telemedicine for Reach; Education; Access;Treatment and Ongoing Support (TREAT-ON),NIDDK,9873427,1R34DK123370-01,1,R34,DK,123370,1,,,7645767,"SIMINERIO, LINDA M",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2019,239185,
A Phase 1 Study to Evaluate the Safety and Immunogenicity of a Novel Live Attenuated Respiratory Syncytial Virus Vaccine with Thermal Stable Fusion protein in Seropositive Adults and Children,NIAID,9697986,1R34AI143516-01,1,R34,AI,143516,1,,,2085865,"SLOBOD, KAREN S",Not Applicable,"MEISSA VACCINES, INC.", ,2019,220500,
Standardized Patients to Measure and Address Intersectional Stigma: An HIV Prevention Engagement Strategy,NIMH,9852085,1R34MH121251-01,1,R34,MH,121251,1,,,11015382,"SMITH, M KUMI ","SYLVIA, SEAN Y",UNIVERSITY OF MINNESOTA, ,2019,251800,
Virtual Job Interview Training for Transition Age Youth with ASD,NIMH,9214114,1R34MH111531-01,1,R34,MH,111531,1,,,10167075,"SMITH, MATTHEW JAMES",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2017,259738,
Achieving Competitive Customized Employment through Specialized Services (ACCESS),NIMH,9214860,1R34MH111556-01,1,R34,MH,111556,1,,,12014375,"SMITH, TAMMY JORGENSEN ","DILLAHUNT-ASPILLAGA, CHRISTINA ",UNIVERSITY OF SOUTH FLORIDA, ,2017,224250,
Approach Bias Retraining to Augment Smoking Cessation,NIDA,9374606,1R34DA044431-01,1,R34,DA,44431,1,,,8532456,"SMITS, JASPER ",Not Applicable,"UNIVERSITY OF TEXAS, AUSTIN", ,2017,223013,
EHealth Mindful Movement and Breathing to Improve Gynecologic Cancer Surgery Outcomes,NCCIH,9369364,1R34AT009546-01,1,R34,AT,9546,1,,,10146387,"SOHL, STEPHANIE JEAN",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2017,155000,
Role of Statins in Slowing Rheumatic Heart Disease (RHD) Progression: A Feasibility Study for a Randomized Controlled Trial,NHLBI,9583232,1R34HL143279-01,1,R34,HL,143279,1,,,6983923,"SOTOODEHNIA, NONA ",Not Applicable,UNIVERSITY OF WASHINGTON, ,2018,245533,
Pragmatic; Prehospital Group O Whole Blood Early Resuscitation Pilot Trial,NHLBI,9386196,1R34HL135224-01A1,1,R34,HL,135224,1,A1,,9487668,"SPERRY, JASON LEE ","TRIULZI, DARRELL J",UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2017,198218,
Computer-Assisted Brief Intervention Protocol for Marijuana Using Juvenile Offenders,NIDA,9329532,1R34DA042247-01A1,1,R34,DA,42247,1,A1,,1893347,"SPIRITO, ANTHONY NMN ","HERNANDEZ, LYNN ",BROWN UNIVERSITY, ,2017,215019,
Screening and Brief Intervention for Suicidality and Nonsuicidal Self-Injury Among Youth in the Juvenile Justice System,NIMH,9614124,1R34MH114307-01A1,1,R34,MH,114307,1,A1,,1893347,"SPIRITO, ANTHONY NMN ","KEMP, KATHLEEN ",BROWN UNIVERSITY, ,2018,258937,
Reducing the Duration of Untreated Illness Among Youth in the Juvenile Justice System with Psychosis-Spectrum Disorders,NIMH,9598199,1R34MH115457-01A1,1,R34,MH,115457,1,A1,,1893347,"SPIRITO, ANTHONY NMN",Not Applicable,BROWN UNIVERSITY, ,2018,258367,
Couples-based intervention to reduce drug use and HIV transmission,NIDA,9346829,1R34DA043422-01A1,1,R34,DA,43422,1,A1,,10651328,"STARKS, TYREL J",Not Applicable,HUNTER COLLEGE, ,2017,222300,
A randomized trial of cognitive vs. behavioral incentives to induce sustained healthy oral hygiene habits and improve oral health,NIDCR,9109861,1R34DE025426-01A1,1,R34,DE,25426,1,A1,,12470042,"STATHOPOULOU, PANAGIOTA  ","BARANKAY, IWAN ;REESE, PETER PHILIP",UNIVERSITY OF PENNSYLVANIA, ,2016,240000,
Social media HIV prevention intervention for rural women drug users,NIDA,9560007,1R34DA045563-01A1,1,R34,DA,45563,1,A1,,14909213,"STATON, MICHELE STATON",Not Applicable,UNIVERSITY OF KENTUCKY, ,2018,186920,
Re-entry XR-NTX for rural opioid dependent women,NIDA,9509879,1R34DA045856-01,1,R34,DA,45856,1,,,14909213,"STATON, MICHELE STATON",Not Applicable,UNIVERSITY OF KENTUCKY, ,2018,186920,
Yoga to Treat Chronic Pain in Persons Receiving Opioid Agonist Therapy,NCCIH,9091107,1R34AT009432-01,1,R34,AT,9432,1,,,1873783,"STEIN, MICHAEL D ","UEBELACKER, LISA A","BUTLER HOSPITAL (PROVIDENCE, RI)", ,2016,226860,
Neuroimaging Predictors of Relapse During Treatment for Opiate Dependence,NIDA,9035102,1R34DA039291-01A1,1,R34,DA,39291,1,A1,,1873783,"STEIN, MICHAEL D",Not Applicable,"BUTLER HOSPITAL (PROVIDENCE, RI)", ,2016,203791,
Junctional AV Ablation in CRT Patients with Atrial Fibrillation,NHLBI,9166580,1R34HL133526-01,1,R34,HL,133526,1,,,1915070,"STEINBERG, JONATHAN S.",Not Applicable,UNIVERSITY OF ROCHESTER, ,2016,414117,
Interventions to Improve the HIV PrEP Cascade among Methamphetamine Users,NIDA,9408154,1R34DA045620-01,1,R34,DA,45620,1,,,8232219,"STEKLER, JOANNE DONNA",Not Applicable,UNIVERSITY OF WASHINGTON, ,2017,232500,
Facilitating treatment entry and family planning in substance-using NICU mothers,NIDA,9087714,1R34DA041465-01,1,R34,DA,41465,1,,,6157551,"STOTTS, ANGELA L",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2016,231000,
System-Level Implementation to Reduce Excess Opioid Prescribing in Surgery,NIDA,9403117,1R34DA044752-01,1,R34,DA,44752,1,,,14353269,"STULBERG, JONAH JAMES ","JOHNSON, JULIE KAREN",NORTHWESTERN UNIVERSITY AT CHICAGO, ,2017,237000,
Using Values to Enhance Inmates' Response to Substance Use and HIV Risk Feedback,NIDA,9316288,1R34DA042974-01A1,1,R34,DA,42974,1,A1,,1873095,"TANGNEY, JUNE P",Not Applicable,GEORGE MASON UNIVERSITY, ,2017,209172,
