NIHID	NAME	Organization	Project.Title	FY	Activity	Award Category	Source	Other.PI.or.Project.Leader.s.	Project.Number	ARRA.Indicator	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	Stats	Administering..IC	Application.ID	Type	IC	Serial.Number	Support.Year	Suffix	Subproject.Number
1860673	"PATEL, KAUSHIK P "	University Of Nebraska Medical Center	Novel Target Mechanism (Renal Denervation) to Reduce Sodium Retention in Chronic Heart Failure	2017	R01	R01Equiv	NIH	"ZHENG, HONG "	1R01DK114663-01	NA	412444	NA	Include	NIDDK	9365386	1	DK	114663	1		NA
8251212	"PATEL, MAYUR B"	Vanderbilt University Medical Center	The INSIGHT-ICU Study: Illuminating Neuropsychological dysfunction and Systemic Inflammatory mechanisms Gleaned after Hospitalization in Trauma-ICU Study	2017	R01	R01Equiv	NIH	Not Applicable	1R01GM120484-01A1	NA	632000	NA	Include	NIGMS	9260624	1	GM	120484	1	A1	NA
11989381	"PATRICK, STEPHEN W"	Vanderbilt University Medical Center	Improving Access to Treatment for Women with Opioid Use Disorder	2018	R01	R01Equiv	NIH	Not Applicable	1R01DA045729-01	NA	474596	NA	Include	NIDA	9497115	1	DA	45729	1		NA
9760253	"PATRIE, STEVEN MATTHEW"	Ut Southwestern Medical Center	Algorithms for Glyco-Proteoform Detection	2016	R01	R01Equiv	NIH	Not Applicable	1R01GM115739-01A1	NA	364031	NA	Include	NIGMS	9106486	1	GM	115739	1	A1	NA
10508300	"PAUKERT, MARTIN "	University Of Texas Hlth Science Center	Ethanol and brain state-dependent neural signaling	2017	R01	R01Equiv	NIH	Not Applicable	1R01AA025128-01A1	NA	339818	NA	Include	NIAAA	9384272	1	AA	25128	1	A1	NA
9401019	"PAULOS, CHRYSTAL MARY"	Medical University Of South Carolina	Mechanisms of durable antitumor immunity via CD26hiCD4+ T cells	2016	R01	R01Equiv	NIH	Not Applicable	1R01CA208514-01	NA	351747	NA	Include	NCI	9161975	1	CA	208514	1		NA
8332962	"PAUN, OLIMPIA "	Rush University Medical Center	Dementia Caregiver Chronic Grief Management: A Live Online Video Intervention	2018	R01	R01Equiv	NIH	Not Applicable	1R01AG056393-01A1	NA	545639	NA	Include	NIA	9593844	1	AG	56393	1	A1	NA
10344393	"PAUST, SILKE "	Baylor College Of Medicine	Mechanisms Of Protection of Universal Therapeutic Antibodies To Influenza A	2017	R01	R01Equiv	NIH	Not Applicable	1R01AI130065-01	NA	793063	NA	Include	NIAID	9285372	1	AI	130065	1		NA
9036409	"PAVLOV, VALENTIN ATANASSOV"	Feinstein Institute For Medical Research	Brainstem Cholinergic Circuitries in the Inflammatory Reflex during Sepsis	2018	R01	R01Equiv	NIH	Not Applicable	1R01GM128008-01	NA	330000	NA	Include	NIGMS	9499841	1	GM	128008	1		NA
2395456	"PBERT, LORI "	Univ Of Massachusetts Med Sch Worcester	Pediatric Practice-based Obesity Intervention to Support Families:  FITLINE	2016	R01	R01Equiv	NIH	Not Applicable	1R01HL130505-01A1	NA	789809	NA	Include	NHLBI	9173824	1	HL	130505	1	A1	NA
12563131	"PECK, ROBERT N"	Weill Medical Coll Of Cornell Univ	Reducing Post-Hospital Mortality in HIV-Infected Adults in Tanzania	2018	R01	R01Equiv	NIH	Not Applicable	1R01MH118107-01	NA	593646	NA	Include	NIMH	9623605	1	MH	118107	1		NA
11798813	"PEHAR, MARIANA "	Medical University Of South Carolina	NGF and RAGE-p75NTR signaling in models of amyotrophic lateral sclerosis	2017	R01	R01Equiv	NIH	Not Applicable	1R01NS100835-01	NA	327031	NA	Include	NINDS	9285298	1	NS	100835	1		NA
11296122	"PEI, LIMING "	Children's Hosp Of Philadelphia	Coordinated regulation of mitochondrial and cellular functions by nuclear receptors	2017	R01	R01Equiv	NIH	Not Applicable	1R01DK111495-01	NA	384770	NA	Include	NIDDK	9216368	1	DK	111495	1		NA
9473597	"PELLIZZONI, LIVIO "	Columbia University Health Sciences	RNA-mediated mechanisms of motor system dysfunction in spinal muscular atrophy	2017	R01	R01Equiv	NIH	Not Applicable	1R01NS102451-01	NA	408886	NA	Include	NINDS	9367841	1	NS	102451	1		NA
8146907	"PENA, JOSE L "	Albert Einstein College Of Medicine	From microscale structure to population coding of normal and learned behavior	2017	R01	R01Equiv	NIH	"DEBELLO, WILIAM MCINTYRE;ELLISMAN, MARK H;FISCHER, BRIAN J"	1R01NS104911-01	NA	759492	NA	Include	NINDS	9450904	1	NS	104911	1		NA
10135356	"PENDYALA, GURUDUTT N "	University Of Nebraska Medical Center	Extracellular vesicles; meth relapse and sex differences	2018	R01	R01Equiv	NIH	"BEVINS, RICK A;YELAMANCHILI, SOWMYA "	1R01DA046852-01	NA	407399	NA	Include	NIDA	9594695	1	DA	46852	1		NA
9896179	"PENG, GUANG "	University Of Tx Md Anderson Can Ctr	Mechanisms of radioresistance and strategies for radiosensitization in OCCC	2016	R01	R01Equiv	NIH	Not Applicable	1R01CA181663-01A1	NA	377816	NA	Include	NCI	9174437	1	CA	181663	1	A1	NA
7740550	"PENG, JUNMIN "	St. Jude Children's Research Hospital	Multi-level Integrative Proteomics to Alzheimer's Disease Pathways	2016	R01	R01Equiv	NIH	Not Applicable	1R01AG053987-01	NA	459835	NA	Include	NIA	9193797	1	AG	53987	1		NA
8063888	"PENNEY, KATHRYN L "	Brigham And Women's Hospital	Comprehensive characterization of prostate stromal gene expression and association with lethal prostate cancer	2018	R37	R01Equiv	NIH	"TYEKUCHEVA, SVITLANA "	1R37CA227190-01	NA	600105	NA	Include	NCI	9496574	1	CA	227190	1		NA
6170385	"PERELMAN, LEV T"	Beth Israel Deaconess Medical Center	(PQ7) In Vivo Cellular Optical Imaging of Esophageal Tumors and Microenvironment	2016	R01	R01Equiv	NIH	Not Applicable	1R01CA205431-01	NA	533945	NA	Include	NCI	9099613	1	CA	205431	1		NA
6414881	"PEREZ, CLAUDIO F"	Brigham And Women's Hospital	Structural and molecular requirements for DHPR and RyR1 bidirectional signaling	2016	R01	R01Equiv	NIH	Not Applicable	1R01AR067738-01A1	NA	476531	NA	Include	NIAMS	9029525	1	AR	67738	1	A1	NA
9092913	"PEREZ, MONICA A "	University Of Miami School Of Medicine	Closed loop control of vibration for muscle spasms after human spinal cord injury: efficacy and mechanism	2018	R01	R01Equiv	NIH	"BOHORQUEZ, JORGE EDUARDO"	1R01NS100810-01A1	NA	419776	NA	Include	NINDS	9519340	1	NS	100810	1	A1	NA
1867806	"PEREZ-PINZON, MIGUEL A"	University Of Miami School Of Medicine	Metabolic Master Regulators for Ischemic Neuroprotection	2017	R01	R01Equiv	NIH	Not Applicable	1R01NS097658-01A1	NA	335781	NA	Include	NINDS	9454679	1	NS	97658	1	A1	NA
8552815	"PERISSI, VALENTINA "	Boston University Medical Campus	Regulation of mitochondrial homeostasis through retrograde signaling	2018	R01	R01Equiv	NIH	Not Applicable	1R01GM127625-01	NA	445254	NA	Include	NIGMS	9499043	1	GM	127625	1		NA
2101886	"PERKINS, DOUGLAS JAY"	University Of New Mexico Health Scis Ctr	Defining the Inflammation and Immunity Transcriptome in Severe Malarial Anemia for Immunotherapeutic Discovery	2018	R01	R01Equiv	NIH	Not Applicable	1R01AI130473-01A1	NA	773738	NA	Include	NIAID	9447971	1	AI	130473	1	A1	NA
1891355	"PERL, ANDRAS "	Upstate Medical University	Endocytic Control of Autophagosome Formation in Lupus T cells	2016	R01	R01Equiv	NIH	Not Applicable	1R01AI122176-01	NA	403750	NA	Include	NIAID	9019238	1	AI	122176	1		NA
8842326	"PERL, ANNE-KARINA THERESIA"	Cincinnati Childrens Hosp Med Ctr	Interstitial resident fibroblasts direct alveolar epithelial differentiation	2017	R01	R01Equiv	NIH	Not Applicable	1R01HL131661-01A1	NA	475847	NA	Include	NHLBI	9235745	1	HL	131661	1	A1	NA
1938929	"PERNIS, ALESSANDRA B"	Hospital For Special Surgery	Regulatory Mechanisms Controlling TFH Responses in Lupus	2016	R01	R01Equiv	NIH	Not Applicable	1R01AR070146-01	NA	387200	NA	Include	NIAMS	9154529	1	AR	70146	1		NA
1915712	"PERRELLA, MARK A"	Brigham And Women's Hospital	Regulation of Neutrophil Function by Mesenchymal Stromal Cells During Sepsis	2016	R01	R01Equiv	NIH	Not Applicable	1R01GM118456-01	NA	324979	NA	Include	NIGMS	9078890	1	GM	118456	1		NA
10035797	"PERRIEN, DANIEL S."	Vanderbilt University Medical Center	The contribution of innate immunity to heterotopic ossification in fibrodysplasia ossificans progressiva	2018	R01	R01Equiv	NIH	Not Applicable	1R01AR073874-01	NA	450919	NA	Include	NIAMS	9580356	1	AR	73874	1		NA
1963356	"PERRIMON, NORBERT  "	Harvard Medical School	Mapping protein communication between organs in homeostasis and disease	2018	R01	R01Equiv	NIH	"CARR, STEVEN A;MCMAHON, ANDREW P.;TING, ALICE Y"	1R01DK121409-01	NA	1704079	NA	Include	NIDDK	9565085	1	DK	121409	1		NA
1862394	"PERRINO, FRED W"	Wake Forest University Health Sciences	The TREX1 Pathway in Autoimmune Disease	2016	R01	R01Equiv	NIH	Not Applicable	1R01AI116725-01A1	NA	400390	NA	Include	NIAID	9030225	1	AI	116725	1	A1	NA
9185337	"PERRY, TAMARA TAYLOR"	Arkansas Children's Hospital Res Inst	Implementing a Guidelines-Based M-Health Intervention for High Risk Asthma Patients	2018	R01	R01Equiv	NIH	Not Applicable	1R01NR015988-01A1	NA	641638	NA	Include	NINR	9303700	1	NR	15988	1	A1	NA
6199091	"PESSIN, JEFFREY E. "	"Albert Einstein College Of Medicine, Inc"	The Mediator complex in the coordinate regulation of lipogenic gene expression	2016	R01	R01Equiv	NIH	"YANG, FAJUN "	1R01DK110063-01	NA	594253	NA	Include	NIDDK	9156029	1	DK	110063	1		NA
9176083	"PETERS, BRIAN M"	University Of Tennessee Health Sci Ctr	Candidalysin: a key mediator of Candida vaginitis immunopathology	2018	R01	R01Equiv	NIH	Not Applicable	1R01AI134796-01A1	NA	380000	NA	Include	NIAID	9594689	1	AI	134796	1	A1	NA
8514517	"PETERS, ERICA N"	Battelle Centers/Pub Hlth Res & Evaluatn	Reduced Nicotine Cigarettes in Smokers with and without Alcohol Use Disorder	2016	R01	R01Equiv	NIH	Not Applicable	1R01AA024709-01A1	NA	474953	NA	Include	NIAAA	9193448	1	AA	24709	1	A1	NA
7893920	"PETERS, JAMIE L"	Medical University Of South Carolina	Extinction Circuits Controlling Heroin Seeking	2018	R01	R01Equiv	NIH	Not Applicable	1R01DA045836-01	NA	336375	NA	Include	NIDA	9501201	1	DA	45836	1		NA
10793572	"PETERS, JUNENETTE "	Boston University Medical Campus	Aircraft Noise Exposure and Cardiovascular Disease	2016	R01	R01Equiv	NIH	Not Applicable	1R01ES025791-01A1	NA	386883	NA	Include	NIEHS	9104458	1	ES	25791	1	A1	NA
7356288	"PETERSON, DANIEL ALAN "	Rosalind Franklin Univ Of Medicine & Sci	Reprogramming Cell Fate for Repair	2017	R01	R01Equiv	NIH	"BRUESTLE, OLIVER ;SCHWARZ, MARTIN K."	1R01NS100514-01A1	NA	582005	NA	Include	NINDS	9389899	1	NS	100514	1	A1	NA
8444337	"PETERSON, JOSH F. "	Vanderbilt University Medical Center	Rational Integration of clinical SEquencing (RISE)	2017	R01	R01Equiv	NIH	"SNYDER, SUSAN ;VEENSTRA, DAVID L"	1R01HG009694-01	NA	776940	NA	Include	NHGRI	9376663	1	HG	9694	1		NA
6900143	"PETERSON, TODD E"	Vanderbilt University Medical Center	Enabling Multi-Tracer SPECT Studies of the Human Brain	2018	R01	R01Equiv	NIH	Not Applicable	1R01EB026991-01	NA	449550	NA	Include	NIBIB	9617513	1	EB	26991	1		NA
9072638	"PETRUKHIN, KONSTANTIN  "	Columbia University Health Sciences	Pharmacological treatment for atrophic age-related macular degeneration compounded by common forms of age-related amyloid disease	2018	R01	R01Equiv	NIH	"CIOFFI, CHRISTOPHER L."	1R01EY028549-01	NA	494015	NA	Include	NEI	9422943	1	EY	28549	1		NA
10482523	"PETTIT, APRIL "	Vanderbilt University Medical Center	Multi-level Social and Behavioral Determinants of Health and Missed HIV Healthcare Provider Visits	2018	R01	R01Equiv	NIH	Not Applicable	1R01MH113438-01A1	NA	406972	NA	Include	NIMH	9480177	1	MH	113438	1	A1	NA
11357616	"PEVNICK, JOSHUA M"	Cedars-Sinai Medical Center	A Multicenter RCT of Pharmacist-Directed Transitional Care to Reduce Post-Hospitalization Utilization	2018	R01	R01Equiv	NIH	Not Applicable	1R01AG058911-01	NA	613290	NA	Include	NIA	9501135	1	AG	58911	1		NA
9613614	"PEZARIS, JOHN S."	Massachusetts General Hospital	Phosphene Characteristics and Artificial Sight	2018	R01	R01Equiv	NIH	Not Applicable	1R01EY027888-01A1	NA	411039	NA	Include	NEI	9447653	1	EY	27888	1	A1	NA
10200716	"PEZZA, ROBERTO JOSE"	Oklahoma Medical Research Foundation	Epigenetic control of meiotic recombination in mammals.	2018	R01	R01Equiv	NIH	Not Applicable	1R01GM125803-01A1	NA	349600	NA	Include	NIGMS	9592947	1	GM	125803	1	A1	NA
7983700	"PFEIFFER, BRAD E"	Ut Southwestern Medical Center	Mechanisms of expression and relationship between two distinct types of internally generated hippocampal sequences	2018	R01	R01Equiv	NIH	Not Applicable	1R01NS104829-01	NA	405000	NA	Include	NINDS	9449966	1	NS	104829	1		NA
1888869	"PHILIPS, MARK REID"	New York University School Of Medicine	Role of nonsense mediated RNA decay in pancreatic cancer	2018	R01	R01Equiv	NIH	Not Applicable	1R01CA211687-01A1	NA	443663	NA	Include	NCI	9447641	1	CA	211687	1	A1	NA
9171063	"PHILLIPS, KEVIN JOHN"	Baylor College Of Medicine	The Requirement for TR Signaling in Beige Adipocyte Function	2017	R01	R01Equiv	NIH	Not Applicable	1R01DK111631-01	NA	396250	NA	Include	NIDDK	9218420	1	DK	111631	1		NA
2099802	"PHIPATANAKUL, WANDA "	Boston Children's Hospital	Environmental Risk Factors for Pediatric Sleep Disordered Breathing	2017	R01	R01Equiv	NIH	Not Applicable	1R01HL137192-01	NA	922926	NA	Include	NHLBI	9301778	1	HL	137192	1		NA
6662991	"PIAO, XIANHUA "	Boston Children's Hospital	Glial Mechanisms Of Developmental Synapse Refinement	2018	R01	R01Equiv	NIH	Not Applicable	1R01NS108446-01A1	NA	625809	NA	Include	NINDS	9686053	1	NS	108446	1	A1	NA
1881689	"PICKEL, VIRGINIA M"	Weill Medical Coll Of Cornell Univ	Aberrant prefrontal cortical plasticity and neurobehavioral consequences of adolescent marijuana	2017	R01	R01Equiv	NIH	Not Applicable	1R01DA042943-01A1	NA	402563	NA	Include	NIDA	9447920	1	DA	42943	1	A1	NA
11030588	"PICKERING, CAROLYN E ZIMINSKI"	University Of Texas Hlth Science Center	Daily Dynamics and Long-Term Trajectories of Elder Abuse and Neglect in the Family Caregiving	2018	R01	R01Equiv	NIH	Not Applicable	1R01AG060083-01	NA	441158	NA	Include	NIA	9589622	1	AG	60083	1		NA
1901854	"PILCH, DANIEL S"	Rbhs-Robert Wood Johnson Medical School	Development of New Antibiotics Against Multidrug-Resistant Staphylococcus aureus	2016	R01	R01Equiv	NIH	Not Applicable	1R01AI118874-01A1	NA	391212	NA	Include	NIAID	9175753	1	AI	118874	1	A1	NA
1888189	"PILCH, PAUL F"	Boston University Medical Campus	Ribosome biogenesis regulates adipocyte function	2017	R01	R01Equiv	NIH	Not Applicable	1R01DK112945-01	NA	411250	NA	Include	NIDDK	9287234	1	DK	112945	1		NA
9047424	"PILIPONSKY, ADRIAN M."	Seattle Children's Hospital	Critical Role of Basophils in the Enhancement of the Innate Immune Response during Sepsis	2018	R01	R01Equiv	NIH	Not Applicable	1R01HL141094-01	NA	768772	NA	Include	NHLBI	9491592	1	HL	141094	1		NA
2053127	"PILLAI, ASHA B"	University Of Miami School Of Medicine	NOVEL INNATE MECHANISMS OF IMMUNE TOLERANCE INDUCTION IN ALLOGENEIC HCT FOR HEMOGLOBINOPATHIES	2018	R01	R01Equiv	NIH	Not Applicable	1R01HL133462-01A1	NA	383750	NA	Include	NHLBI	9447521	1	HL	133462	1	A1	NA
1877591	"PILLAI, SHIV SUBRAMANIAM"	Massachusetts General Hospital	Immune protection against HIV by induction of CD4+CTLs.	2016	R01	R01Equiv	NIH	Not Applicable	1R01AI124418-01	NA	427500	NA	Include	NIAID	9117672	1	AI	124418	1		NA
10723788	"PINKERTON, ANTHONY BRUCE "	Sanford Burnham Prebys Medical Discovery Institute	Optimization of glucocorticoid receptor (GR) passive antagonists for the treatment of post-traumatic stress disorder (PTSD)	2016	R01	R01Equiv	NIH	"JACKSON, MICHAEL "	1R01MH109655-01	NA	611804	NA	Include	NIMH	9084209	1	MH	109655	1		NA
10782804	"PINTER, STEFAN F."	University Of Connecticut Sch Of Med/Dnt	Contributions of sex chromosomal gene homologues to X monosomy	2018	R01	R01Equiv	NIH	Not Applicable	1R01HL141324-01	NA	398750	NA	Include	NHLBI	9500102	1	HL	141324	1		NA
11399923	"PINTO, DALILA "	Icahn School Of Medicine At Mount Sinai	Mapping the role of long noncoding RNAs in gene regulatory networks in schizophrenia	2018	R01	R01Equiv	NIH	Not Applicable	1R01MH109715-01A1	NA	843811	NA	Include	NIMH	9448397	1	MH	109715	1	A1	NA
7239221	"PIOTROWSKI, TATJANA "	Stowers Institute For Medical Research	Zebrafish sensory hair cell regeneration	2017	R01	R01Equiv	NIH	Not Applicable	1R01DC015488-01A1	NA	350625	NA	Include	NIDCD	9309976	1	DC	15488	1	A1	NA
8193484	"PISARSKA, MARGARETA "	Cedars-Sinai Medical Center	Noncoding RNA regulation of the human placental transcriptome among the sexes	2017	R01	R01Equiv	NIH	Not Applicable	1R01HD091773-01	NA	449955	NA	Include	NICHD	9308742	1	HD	91773	1		NA
8842743	"PLACANTONAKIS, DIMITRIS G."	New York University School Of Medicine	The role of GPR133 in glioblastoma	2018	R01	R01Equiv	NIH	Not Applicable	1R01NS102665-01A1	NA	465623	NA	Include	NINDS	9596729	1	NS	102665	1	A1	NA
1864967	"PLAFKER, SCOTT M"	Oklahoma Medical Research Foundation	Mitochondrial Dynamics in RPE Homeostasis and Disease	2018	R01	R01Equiv	NIH	Not Applicable	1R01EY024944-01A1	NA	568798	NA	Include	NEI	9457072	1	EY	24944	1	A1	NA
8240504	"PLANET, PAUL J"	Children's Hosp Of Philadelphia	Bacterial Interference to Prevent Staphylococcus aureus Infection	2018	R01	R01Equiv	NIH	Not Applicable	1R01AI137526-01	NA	456602	NA	Include	NIAID	9498094	1	AI	137526	1		NA
1891681	"PLANO, GREGORY V"	University Of Miami School Of Medicine	Role of Yersinia pestis Ail-host ligand interactions in plague	2017	R01	R01Equiv	NIH	Not Applicable	1R01AI130009-01	NA	451425	NA	Include	NIAID	9285081	1	AI	130009	1		NA
1887556	"PLUTZKY, JORGE  "	Brigham And Women's Hospital	ALDH1a1 Inhibition As A Therapeutic Target In Visceral Adiposity and Type 2 Diabetes	2017	R01	R01Equiv	NIH	"GRIFFIN, PATRICK ROBERT"	1R01DK107239-01A1	NA	490000	NA	Include	NIDDK	9403774	1	DK	107239	1	A1	NA
9868485	"POCHYNYUK, OLEH "	University Of Texas Hlth Sci Ctr Houston	Regulation of K+ balance by distal nephron TRPV4 channel	2018	R01	R01Equiv	NIH	Not Applicable	1R01DK119170-01	NA	346500	NA	Include	NIDDK	9635339	1	DK	119170	1		NA
9273258	"PODURI, ANNAPURNA "	Boston Children's Hospital	PCDH19-related Epilepsy-Human Genotype-Phenotype Studies Lead to Zebrafish Studies	2018	R01	R01Equiv	NIH	Not Applicable	1R01NS100766-01A1	NA	387188	NA	Include	NINDS	9446451	1	NS	100766	1	A1	NA
11873665	"POIRIER, JOHN THOMAS "	Sloan-Kettering Inst Can Research	Immuno-PET imaging of high-grade neuroendocrine lung tumors using 89Zr-rovalpituzumab; a DLL3-targeting monoclonal antibody	2017	R01	R01Equiv	NIH	"LEWIS, JASON S;RUDIN, CHARLES M;WEBER, WOLFGANG "	1R01CA213448-01	NA	446668	NA	Include	NCI	9252920	1	CA	213448	1		NA
7837904	"POISSON, LAILA M"	Henry Ford Health System	Molecular and clinical evaluation of the glioma patient experience to anticipate modern outcomes and guide patient care	2018	R01	R01Equiv	NIH	Not Applicable	1R01CA222146-01A1	NA	577553	NA	Include	NCI	9595417	1	CA	222146	1	A1	NA
9815981	"POLIMENI, JONATHAN RIZZO"	Massachusetts General Hospital	Improving Human fMRI through Modeling and Imaging Microvascular Dynamics	2016	R01	R01Equiv	NIH	Not Applicable	1R01MH111419-01	NA	965618	NA	Include	NIMH	9205860	1	MH	111419	1		NA
10298310	"POLIZZOTTI, BRIAN DAVID "	Boston Children's Hospital	Intravenous oxygen microparticles for treatment of cardiac arrest	2018	R01	R01Equiv	NIH	"KHEIR, JOHN NAGI"	1R01HL141818-01	NA	472048	NA	Include	NHLBI	9498888	1	HL	141818	1		NA
1888289	"POLK, D BRENT"	Children's Hospital Of Los Angeles	Stem Cell Dynamics in Colonic Epithelial Repair	2016	R01	R01Equiv	NIH	Not Applicable	1R01DK108648-01	NA	374625	NA	Include	NIDDK	9056357	1	DK	108648	1		NA
8765427	"POLLOCK, NIRA "	Beth Israel Deaconess Medical Center	Ultrasensitive C.difficile toxin measurement for diagnosis and outcome prediction	2016	R01	R01Equiv	NIH	Not Applicable	1R01AI116596-01A1	NA	856476	NA	Include	NIAID	9099104	1	AI	116596	1	A1	NA
1882768	"PONCZ, MORTIMER "	Children's Hosp Of Philadelphia	Biology and Application of Platelet-Delivered Factor VIII	2016	R01	R01Equiv	NIH	Not Applicable	1R01HL132557-01	NA	584934	NA	Include	NHLBI	9126648	1	HL	132557	1		NA
10207340	"PONNUSAMY, MOORTHY P. "	University Of Nebraska Medical Center	Role of PD2/Paf1 in Pancreatic Acinar to Ductal Metaplasia	2017	R01	R01Equiv	NIH	"BATRA, SURINDER K."	1R01CA210637-01A1	NA	373823	NA	Include	NCI	9333033	1	CA	210637	1	A1	NA
7360149	"PONOMAREV, VLADIMIR "	Sloan-Kettering Inst Can Research	Image-guided TRAIL-enhanced CAR T-cell immunotherapy	2018	R01	R01Equiv	NIH	Not Applicable	1R01CA220524-01A1	NA	625160	NA	Include	NCI	9513872	1	CA	220524	1	A1	NA
1880954	"POOLE, LESLIE B"	Wake Forest University Health Sciences	Mechanisms and Regulation of Peroxiredoxins	2016	R01	R01Equiv	NIH	Not Applicable	1R01GM119227-01	NA	359199	NA	Include	NIGMS	9121765	1	GM	119227	1		NA
8439631	"POROTTO, MATTEO "	Columbia University Health Sciences	Self-assembling nanoparticles for intranasal delivery of influenza fusion inhibitors	2016	R01	R01Equiv	NIH	Not Applicable	1R01AI119762-01A1	NA	547102	NA	Include	NIAID	9053077	1	AI	119762	1	A1	NA
8470090	"POSADAS, EDWIN MELENCIO "	Cedars-Sinai Medical Center	A blood test to identify prostate cancer patients at risk for visceral metastasis	2017	R01	R01Equiv	NIH	"TSENG, HSIAN-RONG "	1R01CA218356-01	NA	620500	NA	Include	NCI	9368502	1	CA	218356	1		NA
9442041	"POSSEMATO, RICHARD LEWIS"	New York University School Of Medicine	Targeting Metabolic Liabilities in Cancer	2018	R01	R01Equiv	NIH	Not Applicable	1R01CA214948-01A1	NA	390657	NA	Include	NCI	9444250	1	CA	214948	1	A1	NA
6931164	"POST, SEAN M"	University Of Tx Md Anderson Can Ctr	Personalized therapy for AML patients with a newly identified genetic alteration	2016	R01	R01Equiv	NIH	Not Applicable	1R01CA207204-01	NA	366000	NA	Include	NCI	9154901	1	CA	207204	1		NA
1958932	"POTASH, MARY JANE "	Icahn School Of Medicine At Mount Sinai	Toward control of HIV neuropathogenesis by innate immunity	2016	R01	R01Equiv	NIH	"VOLSKY, DAVID J"	1R01NS094146-01A1	NA	716741	NA	Include	NINDS	9153356	1	NS	94146	1	A1	NA
7356316	"POTASHKIN, JUDITH ANN"	Rosalind Franklin Univ Of Medicine & Sci	Network analysis for identifying disease mechanisms and therapeutic targets for dementia	2018	R01	R01Equiv	NIH	Not Applicable	1R01AG062176-01	NA	312000	NA	Include	NIA	9686091	1	AG	62176	1		NA
10923974	"POULIKAKOS, POULIKOS I"	Icahn School Of Medicine At Mount Sinai	Mechanism-based strategies to target oncogenic BRAF signaling	2017	R01	R01Equiv	NIH	Not Applicable	1R01CA204314-01A1	NA	414404	NA	Include	NCI	9239071	1	CA	204314	1	A1	NA
7031947	"POURQUIE, OLIVIER "	Brigham And Women's Hospital	Role of Energy Metabolism in Patterning the Vertebrate Musculo-Skeletal Axis	2016	R01	R01Equiv	NIH	Not Applicable	1R01HD085121-01A1	NA	552584	NA	Include	NICHD	9106240	1	HD	85121	1	A1	NA
7354286	"POWNALL, HENRY J "	Methodist Hospital Research Institute	High Density Lipoprotein Biogenesis and Speciation	2016	R01	R01Equiv	NIH	"ROSALES, CORINA "	1R01HL129767-01A1	NA	600627	NA	Include	NHLBI	9164514	1	HL	129767	1	A1	NA
6862347	"POZZI, AMBRA  "	Vanderbilt University Medical Center	Matrix receptors in chronic kidney disease	2018	R01	R01Equiv	NIH	"BORZA, CORINA MARILENA"	1R01DK119212-01	NA	369199	NA	Include	NIDDK	9637651	1	DK	119212	1		NA
7968642	"PRADO, GUILLERMO "	University Of Miami School Of Medicine	Evaluating the Effectiveness of an eHealth EBI for Latino Youth in Primary Care	2016	R01	R01Equiv	NIH	Not Applicable	1R01DA040756-01A1	NA	800374	NA	Include	NIDA	9175553	1	DA	40756	1	A1	NA
1891797	"PRAKASH, SIDDHARTH KUMAR"	University Of Texas Hlth Sci Ctr Houston	Genetic Basis of Early Onset Bicuspid Aortic Valve Disease	2017	R01	R01Equiv	NIH	Not Applicable	1R01HL137028-01	NA	385000	NA	Include	NHLBI	9290031	1	HL	137028	1		NA
1885513	"PRASAD, POTTUMARTHI V"	Northshore University Healthsystem	Intrarenal Oxygenation:  An Early Marker for Risk of Developing AKI	2016	R01	R01Equiv	NIH	Not Applicable	1R01DK106557-01A1	NA	234000	NA	Include	NIDDK	9103847	1	DK	106557	1	A1	NA
8547402	"PRASAD, SATHYAMANGLA VENKATA"	Cleveland Clinic Lerner Com-Cwru	Beta adrenergic receptor resensitization in asthma	2016	R01	R01Equiv	NIH	Not Applicable	1R01HL127602-01A1	NA	396250	NA	Include	NHLBI	9027070	1	HL	127602	1	A1	NA
1899115	"PRASAD, VINAYAKA R. "	"Albert Einstein College Of Medicine, Inc"	Effect of drugs of abuse on CNS HIV-1 reservoirs and neuropathogenesis	2016	R01	R01Equiv	NIH	"KALPANA, GANJAM V"	1R01DA043169-01	NA	642481	NA	Include	NIDA	9236965	1	DA	43169	1		NA
7748147	"PRATHER, PAUL L"	Univ Of Arkansas For Med Scis	Synthetic Cannabinoid Toxicity: Role of Biotransformation	2016	R01	R01Equiv	NIH	Not Applicable	1R01DA039143-01A1	NA	549674	NA	Include	NIDA	9037178	1	DA	39143	1	A1	NA
11966990	"PRERAU, MICHAEL J"	Massachusetts General Hospital	Modeling Multi-scale Sleep EEG Dynamics as a Framework for Biomarker Discovery	2016	R01	R01Equiv	NIH	Not Applicable	1R01NS096177-01	NA	395343	NA	Include	NINDS	9081891	1	NS	96177	1		NA
6146955	"PRESS, DANIEL Z."	Beth Israel Deaconess Medical Center	The Development and Human Translation of Temporal Interference Brain Stimulation	2018	R01	R01Equiv	NIH	Not Applicable	1R01MH117063-01	NA	710815	NA	Include	NIMH	9584806	1	MH	117063	1		NA
10358312	"PRESSMAN, ALICE ROGOT"	California Pacific Med Ctr Res Institute	Mindfulness and Migraine: A Randomized Controlled Trial	2016	R01	R01Equiv	NIH	Not Applicable	1R01AT009081-01	NA	616407	NA	Include	NCCIH	9083632	1	AT	9081	1		NA
