"","X.1","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","X","Stats"
"2431",9480,"A genetic study of BK channel trafficking and regulation in C. elegans","NIGMS",9422967,"1R01GM125749-01",1,"R01","GM",125749,1,"",NA,8684371,"KIM, HONGKYUN  ","RICHMOND, JANET E","Rosalind Franklin Univ Of Medicine & Sci",NA,2018,350145,NA,NA,"Include"
"2432",9481,"High resolution volumetric MRI for prostate cancer active surveillance","NCI",9331304,"1R01CA217098-01",1,"R01","CA",217098,1,"",NA,2049173,"KIM, HYUNG L ","LI, DEBIAO ","Cedars-Sinai Medical Center",NA,2017,373652,NA,NA,"Include"
"2433",9487,"Post-Translational Modification of Protein Surfaces","NIEHS",9560392,"1DP2ES030448-01",1,"DP2","ES",30448,1,"",NA,11639599,"KIM, JUSTIN ","Not Applicable","Dana-Farber Cancer Inst",NA,2018,2647500,NA,NA,"Include"
"2434",9489,"VITAL Start (Video-intervention to Inspire Treatment Adherence for Life): Brief facility based video intervention to improve retention and adherence to ART among pregnant and breastfeeding women","NIMH",9561800,"1R01MH115793-01A1",1,"R01","MH",115793,1,"A1",NA,11680208,"KIM, MARIA HYOUN","Not Applicable","Baylor College Of Medicine",NA,2018,582392,NA,NA,"Include"
"2435",9490,"G-Quadruplex forming sequence motifs and genome instability","NIGMS",9103794,"1R01GM116007-01A1",1,"R01","GM",116007,1,"A1",NA,1889481,"KIM, NAYUN ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2016,308000,NA,NA,"Include"
"2436",9494,"Unpacking treatment mechanisms: Combining evidence from three early intervention models for Autism Spectrum Disorder (ASD)","NIMH",9423661,"1R01MH114925-01",1,"R01","MH",114925,1,"",NA,11204979,"KIM, SO HYUN ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2018,446812,NA,NA,"Include"
"2437",9495,"Gradient-Echo Spectroscopic Imaging Study of Saturated Fat and Breast Cancer","NCI",9531574,"1R01CA219964-01A1",1,"R01","CA",219964,1,"A1",NA,9398732,"KIM, SUNGHEON GENE  ","MOY, LINDA ","New York University School Of Medicine",NA,2018,501413,NA,NA,"Include"
"2438",9499,"Brain-wide input and output wiring diagram of oxytocin neurons and its function in claustrum-endopiriform complex","NIMH",9512205,"1R01MH116176-01",1,"R01","MH",116176,1,"",NA,14275609,"KIM, YONGSOO ","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2018,515887,NA,NA,"Include"
"2439",9503,"Control of Energy Balance by ApoJ Signaling","NIDDK",9234692,"1R01DK106076-01A1",1,"R01","DK",106076,1,"A1",NA,7857822,"KIM, YOUNG-BUM ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2017,436250,NA,NA,"Include"
"2440",9507,"Metabolomic predictors of stroke in REGARDS","NINDS",9218481,"1R01NS099209-01",1,"R01","NS",99209,1,"",NA,10777880,"KIMBERLY, WILLIAM TAYLOR","Not Applicable","Massachusetts General Hospital",NA,2017,518701,NA,NA,"Include"
"2441",9508,"Improving Cognition via Exercise in Schizophrenia","NIMH",9298236,"1R01MH110623-01A1",1,"R01","MH",110623,1,"A1",NA,7890684,"KIMHY, DAVID  ","STROUP, THOMAS SCOTT","Icahn School Of Medicine At Mount Sinai",NA,2017,1555921,NA,NA,"Include"
"2442",9519,"Inflammatory Regulation of Hematopoietic Stem and Progenitor Cells to Enhance Innate Immunity","NHLBI",9383703,"1R01HL134880-01A1",1,"R01","HL",134880,1,"A1",NA,9708825,"KING, KATHERINE YUDEH","Not Applicable","Baylor College Of Medicine",NA,2017,428294,NA,NA,"Include"
"2443",9529,"Biobehavioral Effects of Qigong for Prostate Cancer Survivors with Fatigue","NCI",9236404,"1R01CA203930-01A1",1,"R01","CA",203930,1,"A1",NA,3056913,"KINNEY, ANITA Y ","IRWIN, MICHAEL R","University Of New Mexico Health Scis Ctr",NA,2017,623021,NA,NA,"Include"
"2444",9532,"Problem Adaptation Therapy for Mild Cognitive Impairment with Depression","NIA",9196618,"1R01AG050514-01A1",1,"R01","AG",50514,1,"A1",NA,7731297,"KIOSSES, DIMITRIS N ","ROSENBERG, PAUL B","Weill Medical Coll Of Cornell Univ",NA,2016,772824,NA,NA,"Include"
"2445",9533,"Principal Component Pursuit to Assess Exposure to Environmental Mixtures in Epidemiologic Studies","NIEHS",9439949,"1R01ES028805-01",1,"R01","ES",28805,1,"",NA,11035327,"KIOUMOURTZOGLOU, MARIANTHI-ANNA ","Not Applicable","Columbia University Health Sciences",NA,2018,519891,NA,NA,"Include"
"2446",9535,"Ultrabright Theranostic SERRS Nanoparticles for Gastrointestinal Endoscopy","NCI",9524277,"1R01CA222836-01A1",1,"R01","CA",222836,1,"A1",NA,10805665,"KIRCHER, MORITZ FLORIAN","Not Applicable","Sloan-Kettering Inst Can Research",NA,2018,716909,NA,NA,"Include"
"2447",9536,"(8) Genomic determinants of the T-cell regulome in immune checkpoint blockade","NCI",9518199,"1R01CA227505-01",1,"R01","CA",227505,1,"",NA,9342154,"KIRCHHOFF, TOMAS  ","WEBER, JEFFREY S","New York University School Of Medicine",NA,2018,620860,NA,NA,"Include"
"2448",9541,"Quantitative Sodium MR Imaging and Proton MR Spectroscopy in Traumatic Brain Injury","NINDS",9156554,"1R01NS097494-01",1,"R01","NS",97494,1,"",NA,10681026,"KIROV, IVAN IVANOV ","MADELIN, GUILLAUME ","New York University School Of Medicine",NA,2016,393196,NA,NA,"Include"
"2449",9553,"A Medical Home-Based Intervention to Prevent Child Neglect in High-Risk Families","NCIPC",9234931,"1R01CE002820-01",1,"R01","CE",2820,1,"",NA,10646223,"KISTIN, CAROLINE ","Not Applicable","Boston Medical Center",NA,2016,349999,NA,NA,"Include"
"2450",9556,"Chaperone-Mediated Autophagy in Normal Cardiac Biology and Heart Failure","NHLBI",9367167,"1R01HL138475-01",1,"R01","HL",138475,1,"",NA,1912286,"KITSIS, RICHARD N","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2017,558079,NA,NA,"Include"
"2451",9557,"Development of small molecules for ERG ablation in prostate cancer","NCI",9005588,"1R01CA200787-01",1,"R01","CA",200787,1,"",NA,10449039,"KITTLER, RALF ","Not Applicable","Ut Southwestern Medical Center",NA,2016,369718,NA,NA,"Include"
"2452",9566,"Executive function and aggression in pre-school aged children exposed in utero to marijuana","NIDA",9381025,"1R01DA042948-01A1",1,"R01","DA",42948,1,"A1",NA,10661709,"KLEBANOFF, MARK A","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2017,447451,NA,NA,"Include"
"2453",9567,"Single Cell Genome-Wide Myeloid Response Profiling in Immunotherapy","NCI",9594455,"1R01CA218579-01A1",1,"R01","CA",218579,1,"A1",NA,10280761,"KLEIN, ALLON MOSHE ","PITTET, MIKAEL ","Harvard Medical School",NA,2018,570518,NA,NA,"Include"
"2454",9578,"Influence of sleep regularity on circadian rhythms; learning; performance; and mood","NHLBI",9106723,"1R01HL128538-01A1",1,"R01","HL",128538,1,"A1",NA,1912878,"KLERMAN, ELIZABETH B.","Not Applicable","Brigham And Women's Hospital",NA,2016,904261,NA,NA,"Include"
"2455",9579,"Strategies To Promote Cessation in Smokers Who Are Not Ready To Quit","NCI",9025861,"1R01CA193245-01A1",1,"R01","CA",193245,1,"A1",NA,1862424,"KLESGES, ROBERT C","Not Applicable","University Of Tennessee Health Sci Ctr",NA,2016,645911,NA,NA,"Include"
"2456",9587,"The effect of electronic cigarettes on young versus old normal hearts and pathologic hearts","NHLBI",9624711,"1R01HL144258-01",1,"R01","HL",144258,1,"",NA,14290188,"KLONER, ROBERT A","Not Applicable","Huntington Medical Research Institutes",NA,2018,468299,NA,NA,"Include"
"2457",9594,"Discovering Biology for Neuropsychiatric Diseases Through Omics Studies on Comorbidities","NIMH",9333934,"1R01MH113362-01",1,"R01","MH",113362,1,"",NA,7939318,"KNAPIK, ELA W ","COX, NANCY J;SUTCLIFFE, JAMES S","Vanderbilt University Medical Center",NA,2017,759644,NA,NA,"Include"
"2458",9603,"Learning an Optimized Variational Network for Medical Image Reconstruction","NIBIB",9521289,"1R01EB024532-01A1",1,"R01","EB",24532,1,"A1",NA,14087986,"KNOLL, FLORIAN  ","POCK, THOMAS ","New York University School Of Medicine",NA,2018,471965,NA,NA,"Include"
"2459",9605,"The GEN-SCRIP Study (GENetics of SChizophRenia in Pakistan)","NIMH",9291116,"1R01MH112904-01",1,"R01","MH",112904,1,"",NA,1907249,"KNOWLES, JAMES A","Not Applicable","Suny Downstate Medical Center",NA,2017,612442,NA,NA,"Include"
"2460",9616,"Plasma Gelsolin as Immunotherapeutic for Antibiotic-Resistant Pneumonia","NIAID",9146035,"1R01AI125152-01",1,"R01","AI",125152,1,"",NA,1878463,"KOBZIK, LESTER ","Not Applicable","Harvard School Of Public Health",NA,2016,939359,NA,NA,"Include"
"2461",9621,"Connecting Genomic Alterations in Liposarcomas with Drug Responses and Identification of New Therapeutic Approaches","NCI",9173247,"1R01CA200992-01A1",1,"R01","CA",200992,1,"A1",NA,8450641,"KOEFFLER, HAROLD PHILLIP","Not Applicable","Cedars-Sinai Medical Center",NA,2016,363125,NA,NA,"Include"
"2462",9623,"Diet and the CPT1A arctic variant: Impact on the Health of Alaska Native Children","NICHD",9214253,"1R01HD089951-01",1,"R01","HD",89951,1,"",NA,7354416,"KOELLER, DAVID M ","DILLARD, DENISE A","Oregon Health & Science University",NA,2017,437407,NA,NA,"Include"
"2463",9625,"A Trial of Same-Day Testing and Treatment to Improve Outcomes among Symptomatic Patients Newly Diagnosed with HIV","NIAID",9352451,"1R01AI131998-01",1,"R01","AI",131998,1,"",NA,7947542,"KOENIG, SERENA PATRICIA","Not Applicable","Brigham And Women's Hospital",NA,2017,590974,NA,NA,"Include"
"2464",9628,"Sex Differences in Brain Structure and Function After Sports-Related Concussion","NINDS",9397701,"1R01NS100952-01A1",1,"R01","NS",100952,1,"A1",NA,11253437,"KOERTE, INGA KATHARINA","Not Applicable","Brigham And Women's Hospital",NA,2017,596922,NA,NA,"Include"
"2465",9640,"Visual Crowding","NEI",9425181,"1R01EY028626-01",1,"R01","EY",28626,1,"",NA,3092427,"KOHN, ADAM ","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2018,257751,NA,NA,"Include"
"2466",9642,"Mechanisms regulating lncRNA short and long range signaling","NIMH",9333036,"1R01MH111267-01A1",1,"R01","MH",111267,1,"A1",NA,6623822,"KOHTZ, JHUMKU DUTT","Not Applicable","Lurie Children's Hospital Of Chicago",NA,2017,575741,NA,NA,"Include"
"2467",9643,"Regulation of neural progenitor competence","NICHD",9365237,"1R01HD092381-01",1,"R01","HD",92381,1,"",NA,7016728,"KOHWI, MINOREE ","Not Applicable","Columbia University Health Sciences",NA,2017,337721,NA,NA,"Include"
"2468",9644,"Molecular mechanisms of SHP2 signaling dissected with designer binding proteins","NCI",9028914,"1R01CA194864-01A1",1,"R01","CA",194864,1,"A1",NA,1868896,"KOIDE, SHOHEI ","Not Applicable","New York University School Of Medicine",NA,2016,368721,NA,NA,"Include"
"2469",9646,"Opposing Roles for Microglia in the Young and Aged Neurogenic Niche","NINDS",9594799,"1R01NS102448-01A1",1,"R01","NS",102448,1,"A1",NA,10308397,"KOKOVAY, ERZSEBET ","Not Applicable","University Of Texas Hlth Science Center",NA,2018,330149,NA,NA,"Include"
"2470",9647,"Rapid Real-Time MR Angiography of Suspected Stroke","NIBIB",9658967,"1R01EB027475-01A1",1,"R01","EB",27475,1,"A1",NA,9625549,"KOKTZOGLOU, IOANNIS ","Not Applicable","Northshore University Healthsystem",NA,2018,484118,NA,NA,"Include"
"2471",9651,"C16-Ceramide Nano-Liposomes Reverse Multi-Drug Resistance","NCI",9106835,"1R01CA179067-01A1",1,"R01","CA",179067,1,"A1",NA,1878821,"KOLESNICK, RICHARD N","Not Applicable","Sloan-Kettering Inst Can Research",NA,2016,392078,NA,NA,"Include"
"2472",9652,"Electrophysiological Markers for Interventions in Phelan-McDermid Syndrome and Idiopathic Autism","NINDS",9499502,"1R01NS105845-01",1,"R01","NS",105845,1,"",NA,9661041,"KOLEVZON, ALEXANDER ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2018,648380,NA,NA,"Include"
"2473",9663,"The role of BMP signaling in craniofacial cartilage development","NIDCR",9311204,"1R01DE025897-01A1",1,"R01","DE",25897,1,"A1",NA,9970080,"KOMATSU, YOSHIHIRO ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2017,365750,NA,NA,"Include"
"2474",9664,"Delivery of PAI-1-targeted intrapleural fibrinolytic therapy for empyema","NHLBI",9239277,"1R01HL130402-01A1",1,"R01","HL",130402,1,"A1",NA,9382154,"KOMISSAROV, ANDREY  ","FLOROVA, GALINA ;IDELL, STEVEN ","University Of Texas Hlth Ctr At Tyler",NA,2017,364557,NA,NA,"Include"
"2475",9672,"Functional dissection of mammalian vocal communication","NIDCD",9051444,"1R01DC014702-01A1",1,"R01","DC",14702,1,"A1",NA,9886362,"KONOPKA, GENEVIEVE ","Not Applicable","Ut Southwestern Medical Center",NA,2016,343454,NA,NA,"Include"
"2476",9676,"Rapid; Breath Volatile Metabolite-Based Diagnostic for In Vivo Identification and Antibiotic Resistance Profiling of Bacterial Pathogens in Ventilator-Associated Pneumonia","NIAID",9577408,"1R01AI138999-01",1,"R01","AI",138999,1,"",NA,9986130,"KOO, SOPHIA ","Not Applicable","Brigham And Women's Hospital",NA,2018,1495043,NA,NA,"Include"
"2477",9678,"The Mechanism Regulating Renal Progenitor Aging","NIDDK",9103358,"1R01DK106225-01A1",1,"R01","DK",106225,1,"A1",NA,1883000,"KOPAN, RAPHAEL ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2016,469933,NA,NA,"Include"
"2478",9685,"Determinants of Tuberculosis Severity","NHLBI",9030009,"1R01HL127384-01A1",1,"R01","HL",127384,1,"A1",NA,1876590,"KORNFELD, HARDY ","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2016,548586,NA,NA,"Include"
"2479",9686,"Alzheimer's Disease Hallmark Pathology and Associated Inflammation in the Retina","NIA",9458050,"1R01AG055865-01A1",1,"R01","AG",55865,1,"A1",NA,9755580,"KORONYO-HAMAOUI, MAYA ","Not Applicable","Cedars-Sinai Medical Center",NA,2018,325078,NA,NA,"Include"
"2480",9698,"Action of psychostimulant drugs on neuronal intrinsic excitability and drug-seeking behavior","NIDA",9496749,"1R01DA045660-01",1,"R01","DA",45660,1,"",NA,12011794,"KOURRICH, SAID ","Not Applicable","Ut Southwestern Medical Center",NA,2018,364500,NA,NA,"Include"
"2481",9699,"Genetic characterization of osteoblast-induced leukemias","NHLBI",9176849,"1R01HL130937-01A1",1,"R01","HL",130937,1,"A1",NA,7752388,"KOUSTENI, STAVROULA  ","RABADAN, RAUL ","Columbia University Health Sciences",NA,2016,585485,NA,NA,"Include"
"2482",9701,"Toward Therapeutic Manipulation of Endothelial to Mesenchymal Transition","NHLBI",9010464,"1R01HL130423-01",1,"R01","HL",130423,1,"",NA,10714317,"KOVACIC, JASON CIRIL","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2016,423750,NA,NA,"Include"
"2483",9706,"A 3D human tissue-engineered lung model to study immune responses to Respiratory Syncytial Virus","NIBIB",9438811,"1R01EB025596-01",1,"R01","EB",25596,1,"",NA,8537269,"KOVATS, SUSAN  ","FAHLENKAMP, HEATHER ","Oklahoma Medical Research Foundation",NA,2018,565106,NA,NA,"Include"
"2484",9711,"Mechanoregulation of EHEC virulence","NIAID",9593112,"1R01AI132354-01A1",1,"R01","AI",132354,1,"A1",NA,10799199,"KRACHLER, ANNE-MARIE ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2018,375280,NA,NA,"Include"
"2485",9716,"Endocytic Trafficking and Cell Signaling in Models of ARC Syndrome","NIGMS",9316817,"1R01GM120196-01A1",1,"R01","GM",120196,1,"A1",NA,1965790,"KRAMER, HELMUT J","Not Applicable","Ut Southwestern Medical Center",NA,2017,332100,NA,NA,"Include"
"2486",9718,"Estradiol and Zoster Associated Orofacial Pain","NIDCR",9521224,"1R01DE026749-01A1",1,"R01","DE",26749,1,"A1",NA,6912798,"KRAMER, PHILLIP R","Not Applicable","Texas A&M University Health Science Ctr",NA,2018,377932,NA,NA,"Include"
"2487",9720,"Broad humoral protection induced by influenza B neuraminidase-based immunogens","NIAID",9173297,"1R01AI117287-01A1",1,"R01","AI",117287,1,"A1",NA,11243077,"KRAMMER, FLORIAN ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2016,353124,NA,NA,"Include"
"2488",9721,"Necrosis in pulmonary TB granulomas: dynamics; mechanisms; therapies","NHLBI",9028706,"1R01HL126066-01A1",1,"R01","HL",126066,1,"A1",NA,6626630,"KRAMNIK, IGOR ","Not Applicable","Boston University Medical Campus",NA,2016,709385,NA,NA,"Include"
"2489",9727,"Cadherin-Dependent Regulation of Satellite Cell Function","NIAMS",9160344,"1R01AR070231-01",1,"R01","AR",70231,1,"",NA,1863905,"KRAUSS, ROBERT S.","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2016,410317,NA,NA,"Include"
"2490",9730,"Transcriptional Reprogramming in Podocyte Injury","NIDDK",9149798,"1R01DK109972-01",1,"R01","DK",109972,1,"",NA,1882295,"KREIDBERG, JORDAN A.","Not Applicable","Boston Children's Hospital",NA,2016,447573,NA,NA,"Include"
"2491",9731,"Neural dynamics underlying spatiotemporal cognitive integration","NEI",9004708,"1R01EY026025-01",1,"R01","EY",26025,1,"",NA,8802831,"KREIMAN, GABRIEL ","Not Applicable","Boston Children's Hospital",NA,2016,424790,NA,NA,"Include"
"2492",9735,"Developing miR-10b targeting for glioblastoma","NCI",9523594,"1R01CA215072-01A1",1,"R01","CA",215072,1,"A1",NA,8271939,"KRICHEVSKY, ANNA M.","Not Applicable","Brigham And Women's Hospital",NA,2018,408884,NA,NA,"Include"
"2493",9736,"miRNA Mediated Cross-Talk in CRS4: The Role of the miR-21-5p/PPAR-Alpha Pathway","NHLBI",9173993,"1R01HL128332-01A1",1,"R01","HL",128332,1,"A1",NA,10343354,"KRIEGEL, ALISON J","Not Applicable","Medical College Of Wisconsin",NA,2016,385000,NA,NA,"Include"
"2494",9739,"Mechanisms underlying endothelin mediated neurodegeneration in glaucoma","NEI",9366875,"1R01EY028179-01",1,"R01","EY",28179,1,"",NA,7138075,"KRISHNAMOORTHY, RAGHU R","Not Applicable","University Of North Texas Hlth Sci Ctr",NA,2017,365000,NA,NA,"Include"
"2495",9741,"Circadian Lipidomics in Constant Routine; Forced Desynchrony; and Non-lab Setting","NHLBI",9083622,"1R01HL132556-01",1,"R01","HL",132556,1,"",NA,1867586,"KRISTAL, BRUCE S","Not Applicable","Brigham And Women's Hospital",NA,2016,848973,NA,NA,"Include"
"2496",9742,"Intrinsic cephalosporin resistance in enterococci","NIAID",9419533,"1R01AI134660-01",1,"R01","AI",134660,1,"",NA,7537641,"KRISTICH, CHRISTOPHER J","Not Applicable","Medical College Of Wisconsin",NA,2018,385000,NA,NA,"Include"
"2497",9743,"Brain Networks and Mobility Function: B-NET","NIA",9315501,"1R01AG052419-01A1",1,"R01","AG",52419,1,"A1",NA,1939822,"KRITCHEVSKY, STEPHEN B. ","LAURIENTI, PAUL ","Wake Forest University Health Sciences",NA,2017,632788,NA,NA,"Include"
"2498",9747,"Mechanisms of initiation of T-cell signaling by the TCR-CD3 complex","NIGMS",9531831,"1R01GM124489-01A1",1,"R01","GM",124489,1,"A1",NA,8622646,"KROGSGAARD, MICHELLE ","Not Applicable","New York University School Of Medicine",NA,2018,531728,NA,NA,"Include"
"2499",9755,"Behavioral Weight Management for Pregnant and Postpartum Women in the Military","NIDDK",9103837,"1R01DK104872-01A1",1,"R01","DK",104872,1,"A1",NA,9960592,"KRUKOWSKI, REBECCA A.","Not Applicable","University Of Tennessee Health Sci Ctr",NA,2016,693492,NA,NA,"Include"
"2500",9756,"Sleep Apnea in Survivors of Childhood Cancer Treated with Thoracic Radiation (APNEA","NCI",9402254,"1R01CA215405-01A1",1,"R01","CA",215405,1,"A1",NA,1954879,"KRULL, KEVIN R ","MANDRELL, BELINDA N","St. Jude Children's Research Hospital",NA,2017,657845,NA,NA,"Include"
"2501",9758,"Molecular mechanisms of sigma receptor signaling","NIGMS",9236106,"1R01GM119185-01A1",1,"R01","GM",119185,1,"A1",NA,10334335,"KRUSE, ANDREW ","Not Applicable","Harvard Medical School",NA,2017,322870,NA,NA,"Include"
"2502",9759,"Correcting Dose Calculation Errors in Radiation Oncology","NCI",9282227,"1R01CA214526-01",1,"R01","CA",214526,1,"",NA,7777875,"KRY, STEPHEN F","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2017,149600,NA,NA,"Include"
"2503",9769,"Ethics of Patients and Care Partners Perspectives on Personality Change in Parkinsons disease and Deep Brain Stimulation","NIMH",9419030,"1R01MH114853-01",1,"R01","MH",114853,1,"",NA,9817780,"KUBU, CYNTHIA M. S.","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2017,448289,NA,NA,"Include"
"2504",9770,"Optimism and Exceptional Longevity","NIA",9156244,"1R01AG053273-01",1,"R01","AG",53273,1,"",NA,1901043,"KUBZANSKY, LAURA D ","GRODSTEIN, FRANCINE ","Harvard School Of Public Health",NA,2016,357451,NA,NA,"Include"
"2505",9771,"Multi-modal imaging of the mechanisms underlying impaired executive attention after traumatic brain injury","NINDS",9470490,"1R01NS102646-01A1",1,"R01","NS",102646,1,"A1",NA,10280800,"KUCEYESKI, AMY  ","SHAH, SUDHIN ","Weill Medical Coll Of Cornell Univ",NA,2018,554686,NA,NA,"Include"
"2506",9773,"Investigation of ADAMTS in glaucoma pathogenesis","NEI",9284605,"1R01EY027746-01",1,"R01","EY",27746,1,"",NA,1900778,"KUCHTEY, JOHN G","Not Applicable","Vanderbilt University Medical Center",NA,2017,402358,NA,NA,"Include"
"2507",9775,"Oral microbial signatures in perinatal HIV infection","NIDCR",9604614,"1R01DE028135-01",1,"R01","DE",28135,1,"",NA,1872852,"KUHN, LOUISE ","Not Applicable","Columbia University Health Sciences",NA,2018,699104,NA,NA,"Include"
"2508",9779,"Trim32 regulation of PKC-zeta in atopic dermatitis","NIAMS",9332959,"1R01AR070645-01A1",1,"R01","AR",70645,1,"A1",NA,1969196,"KULESZ-MARTIN, MOLLY F. ","LIU, YUANGANG ","Oregon Health & Science University",NA,2017,397523,NA,NA,"Include"
"2509",9780,"Matrix Metalloprotease-PAR1 Regulation of Atherosclerosis","NHLBI",9446315,"1R01HL136485-01A1",1,"R01","HL",136485,1,"A1",NA,1879350,"KULIOPULOS, ATHAN ","Not Applicable","Tufts Medical Center",NA,2018,726028,NA,NA,"Include"
"2510",9786,"Regulation of Th2 differentiation by skin-resident dendritic cells","NIAID",9364988,"1R01AI132576-01",1,"R01","AI",132576,1,"",NA,10207030,"KUMAMOTO, YOSUKE ","Not Applicable","Rbhs-New Jersey Medical School",NA,2017,397500,NA,NA,"Include"
"2511",9787,"Preclinical Time domain Fluorescence Tomography Platform","NCI",9214006,"1R01CA211084-01",1,"R01","CA",211084,1,"",NA,9743674,"KUMAR, ANAND T.N.","Not Applicable","Massachusetts General Hospital",NA,2017,576080,NA,NA,"Include"
"2512",9791,"Dry Eye and Microenvironment","NEI",9176495,"1R01EY026174-01A1",1,"R01","EY",26174,1,"A1",NA,8325763,"KUMAR, NARESH  ","GALOR, ANAT ","University Of Miami School Of Medicine",NA,2016,380323,NA,NA,"Include"
"2513",9796,"Understanding Epithelial Plasticity in Renal Repair after Acute Kidney Injury","NIDDK",9580217,"1R01DK118265-01",1,"R01","DK",118265,1,"",NA,15231117,"KUMAR, SANJEEV ","Not Applicable","Cedars-Sinai Medical Center",NA,2018,484089,NA,NA,"Include"
"2514",9797,"Monocytic and exosomal cytochrome P450s in smoking-mediated HIV-1 pathogenesis","NIDA",9622725,"1R01DA047178-01",1,"R01","DA",47178,1,"",NA,9661589,"KUMAR, SANTOSH  ","CORY, THEODORE ","University Of Tennessee Health Sci Ctr",NA,2018,342000,NA,NA,"Include"
"2515",9800,"Biodegradable Matrices for Bone Healing","NIBIB",9237757,"1R01EB020640-01A1",1,"R01","EB",20640,1,"A1",NA,9872796,"KUMBAR, SANGAMESH GURAPPA ","YU, XIAOJUN ","University Of Connecticut Sch Of Med/Dnt",NA,2017,365081,NA,NA,"Include"
"2516",9804,"Role of the autophagy-inducing kinases ULK1/2 in ER export and protein trafficking","NIMH",9596117,"1R01MH115058-01A1",1,"R01","MH",115058,1,"A1",NA,8357453,"KUNDU, MONDIRA ","Not Applicable","St. Jude Children's Research Hospital",NA,2018,448750,NA,NA,"Include"
"2517",9813,"Cerebellar Circuitry in the Pathophysiology of Tremor","NINDS",9661375,"1R01NS104423-01A1",1,"R01","NS",104423,1,"A1",NA,10889649,"KUO, SHENG-HAN ","Not Applicable","Columbia University Health Sciences",NA,2018,413380,NA,NA,"Include"
"2518",9819,"Generation of Robust Resident Memory T cells in Barrier Tissues through Skin Vaccination","NIAID",9217960,"1R01AI127654-01",1,"R01","AI",127654,1,"",NA,1879892,"KUPPER, THOMAS S. ","CLARK, RACHAEL ANN","Brigham And Women's Hospital",NA,2017,1393521,NA,NA,"Include"
"2519",9824,"Regulation of lung cancer metastasis through transcriptional control of the Golgi apparatus","NCI",9213276,"1R01CA211125-01",1,"R01","CA",211125,1,"",NA,1869259,"KURIE, JONATHAN M","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2017,378946,NA,NA,"Include"
"2520",9825,"Genetic and environmental influences on recovery of severe pediatric brain injury.","NINDS",9191486,"1R01NS096053-01A1",1,"R01","NS",96053,1,"A1",NA,10727388,"KUROWSKI, BRAD G","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2016,517558,NA,NA,"Include"
"2521",9841,"Transformation of mitochondrial VDAC1 between protective and lethal states","NHLBI",9307016,"1R01HL131673-01A1",1,"R01","HL",131673,1,"A1",NA,1887608,"KWOK, WAI-MENG  ","CAMARA, AMADOU K;TAJKHORSHID, EMAD ","Medical College Of Wisconsin",NA,2017,727026,NA,NA,"Include"
"2522",9843,"Multi-omics characterization of HIV-associated changes in the gut microbiome and host mucosal immunity","NIDDK",9695789,"1R01DK120485-01",1,"R01","DK",120485,1,"",NA,9723276,"KWON, DOUGLAS  ","XAVIER, RAMNIK J","Massachusetts General Hospital",NA,2018,816908,NA,NA,"Include"
"2523",9851,"Nanoparticle-mediated treatment for bone metastasis","NCI",9115900,"1R01CA206189-01",1,"R01","CA",206189,1,"",NA,1867120,"LABHASETWAR, VINOD D","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2016,312562,NA,NA,"Include"
"2524",9855,"Mechanisms of KLF4 suppression in pediatric leukemia","NCI",9307156,"1R01CA207086-01A1",1,"R01","CA",207086,1,"A1",NA,7044151,"LACORAZZA, DANIEL ","Not Applicable","Baylor College Of Medicine",NA,2017,326540,NA,NA,"Include"
"2525",9857,"Factors that Enhance Diagnostic Imaging Safety in the Ambulatory Setting","AHRQ",9159075,"1R01HS024722-01",1,"R01","HS",24722,1,"",NA,8632291,"LACSON, RONILDA ","Not Applicable","Brigham And Women's Hospital",NA,2016,336320,NA,NA,"Include"
